AD,ED,NAME,LOCATION
23,1,BLESSED TRINITY CH ,204-25 ROCKAWAY POINT BLVD
23,2,BLESSED TRINITY CH ,204-25 ROCKAWAY POINT BLVD
23,3,BLESSED TRINITY CH ,204-25 ROCKAWAY POINT BLVD
23,4,BLESSED TRINITY CH ,204-25 ROCKAWAY POINT BLVD
23,5,PS 114-BELLE HARBOR ,134-09 CRONSTON AVENUE
23,6,PS 114-BELLE HARBOR ,134-09 CRONSTON AVENUE
23,7,PS 114-BELLE HARBOR ,134-09 CRONSTON AVENUE
23,8,PS 114-BELLE HARBOR ,134-09 CRONSTON AVENUE
23,9,PS 114-BELLE HARBOR ,134-09 CRONSTON AVENUE
23,10,PS 114-BELLE HARBOR ,134-09 CRONSTON AVENUE
23,11,SEASIDE LIBRARY ,116-15 ROCKAWAY BEACH BLVD
23,12,SEASIDE LIBRARY ,116-15 ROCKAWAY BEACH BLVD
23,13,DAYTON TOWER WEST 10200 ,102-00 SHORE FRONT PKWAY
23,14,DAYTON TOWER WEST 10200 ,102-00 SHORE FRONT PKWAY
23,15,DAYTON BEACH PARK 8600,86-00 SHORE FRONT PKWAY
23,16,DAYTON BEACH PARK 8200,8200 SHORE FRONT PKWAY
23,17,DAYTON TOWERS EAST 7400 ,7400 SHORE FRONT PKWAY
23,18,DAYTON TOWER WEST 10200 ,102-00 SHORE FRONT PKWY
23,19,PENINSULA LIBRARY ,92-25 ROCKAWAY BEACH BOULEVARD
23,20,PENINSULA LIBRARY ,92-25 ROCKAWAY BEACH BOULEVARD
23,21,DAYTON TOWERS EAST 7400 ,7400 SHORE FRONT PARKWAY
23,22,PS 105-THE BAY SCHOOL ,420 BEACH 51 STREET
23,23,PS 215 - LUCRETIA MOTT ,5-35 BRIAR PLACE
23,24,PS 215 - LUCRETIA MOTT ,5-35 BRIAR PLACE
23,25,YOUNG ISRAEL OF FAR ROCKAWAY ,716 BEACH 9 STREET
23,26,OCEAN POINT ,711 SEAGIRT AVENUE
23,27,YOUNG ISRAEL OF FAR ROCKAWAY ,716 BEACH 9 STREET
23,28,MS 53 / IS 53 - BRIAN PICCOLO ,10-45 NAMEOKE STREET
23,29,MS 53 / IS 53 - BRIAN PICCOLO ,10-45 NAMEOKE STREET
23,30,YOUNG ISRAEL OF FAR ROCKAWAY ,716 BEACH 9 STREET
23,31,YOUNG ISRAEL OF FAR ROCKAWAY ,716 BEACH 9 STREET
23,32,PS 215 - LUCRETIA MOTT ,5-35 BRIAR PLACE
23,33,PS 215 - LUCRETIA MOTT ,5-35 BRIAR PLACE
23,34,PS 215 - LUCRETIA MOTT ,5-35 BRIAR PLACE
23,35,PS 104-BAYS WATER ,26-01 MOTT AVENUE
23,36,PS 104-BAYS WATER ,26-01 MOTT AVENUE
23,37,PS 104-BAYS WATER ,26-01 MOTT AVENUE
23,38,PS 105-THE BAY SCHOOL ,420 BEACH 51 STREET
23,39,YOUNG ISRAEL OF FAR ROCKAWAY ,716 BEACH 9 STREET
23,40,PS 47-CHRIS GALAS ,9 POWER ROAD
23,41,PS 47-CHRIS GALAS ,9 POWER ROAD
23,42,PS 215 - LUCRETIA MOTT ,5-35 BRIAR PLACE
23,43,PS 64-JOSEPH P. ADDABBO ,82-01 101 AVENUE
23,44,PS 207-ROCKWOOD PARK ,159-15 88 STREET
23,45,PS 207-ROCKWOOD PARK ,159-15 88 STREET
23,46,PS 207-ROCKWOOD PARK ,159-15 88 STREET
23,47,PS 207-ROCKWOOD PARK ,159-15 88 STREET
23,48,PS 207-ROCKWOOD PARK ,159-15 88 STREET
23,49,PS 146-HOWARD BEACH ,98-01 159 AVENUE
23,50,PS 146-HOWARD BEACH ,98-01 159 AVENUE
23,51,PS 146-HOWARD BEACH ,98-01 159 AVENUE
23,52,PS 146-HOWARD BEACH ,98-01 159 AVENUE
23,53,PS 377 ,150-15 RALEIGH STREET
23,54,PS 377 ,150-15 RALEIGH STREET
23,55,MS 137-AMERICAâ€™S SCHOOL OF HEROES ,109-15 98 ST
23,56,PS 63-OLD SOUTH ,90-15 SUTTER AVENUE
23,57,PS 63-OLD SOUTH ,90-15 SUTTER AVENUE
23,58,JHS 202-ROBERT H. GODDARD ,138-30 LAFAYETTE STREET
23,59,JHS 202-ROBERT H. GODDARD ,138-30 LAFAYETTE STREET
23,60,JHS 202-ROBERT H. GODDARD ,138-30 LAFAYETTE STREET
23,61,PS 232-LINDENWOOD ,153-23 83 STREET
23,62,PS 232-LINDENWOOD ,153-23 83 STREET
23,63,PS 232-LINDENWOOD ,153-23 83 STREET
23,64,PS 232-LINDENWOOD ,153-23 83 STREET
23,65,PS 232-LINDENWOOD ,153-23 83 STREET
23,66,PS 64-JOSEPH P. ADDABBO ,82-01 101 AVENUE
23,67,PS 64-JOSEPH P. ADDABBO ,82-01 101 AVENUE
23,68,PS 64-JOSEPH P. ADDABBO ,82-01 101 AVENUE
23,69,PS 316 - QUEENS EXPLORERS ELEMENTARY,90-07 101 AVENUE
23,70,PS 37 ,15 FAIRFIELD STREET
23,70,PS 37 ,15 FAIRFIELD STREET
23,70,MS 137-AMERICAâ€™S SCHOOL OF HEROES ,109-15 98 ST
23,71,PS 105-THE BAY SCHOOL ,420 BEACH 51 STREET
23,72,PS 47-CHRIS GALAS ,9 POWER ROAD
23,73,PS 47-CHRIS GALAS ,9 POWER ROAD
23,74,PS 47-CHRIS GALAS ,9 POWER ROAD
23,75,PS 232-LINDENWOOD ,153-23 83 STREET
23,76,PS 47-CHRIS GALAS ,9 POWER ROAD
23,77,PS 47-CHRIS GALAS ,9 POWER ROAD
23,78,PS 47-CHRIS GALAS ,9 POWER ROAD
23,79,PS 47-CHRIS GALAS ,9 POWER ROAD
23,80,PS 47-CHRIS GALAS ,9 POWER ROAD
23,81,PS 47-CHRIS GALAS ,9 POWER ROAD
23,82,PS 47-CHRIS GALAS ,9 POWER ROAD
23,83,PS 105-THE BAY SCHOOL ,420 BEACH 51 STREET
23,84,PS 232-LINDENWOOD ,153-23 83 STREET
23,85,DAYTON BEACH PARK 8600,86-00 SHORE FRONT PARKWAY
23,86,DAYTON BEACH PARK 8200,8200 SHORE FRONT PARKWAY
23,87,PENINSULA LIBRARY ,92-25 ROCKAWAY BEACH BOULEVARD
23,88,MS 53 / IS 53 -BRIAN PICCOLO ,10-45 NAMEOKE STREET
23,89,JHS 202-ROBERT H. GODDARD ,138-30 LAFAYETTE STREET
23,90,PS 207-ROCKWOOD PARK ,159-15 88 STREET
23,91,JHS 226-VIRGIL I. GRISSOM ,121-10 ROCKAWAY BOULEVARD
23,92,PS 114-BELLE HARBOR ,134-09 CRONSTON AVENUE
23,93,PS 232-LINDENWOOD ,153-23 83 STREET
24,1,PS 186-CASTLEWOOD ,252-12 72 AVENUE
24,2,PS 186-CASTLEWOOD ,252-12 72 AVENUE
24,3,PS 186-CASTLEWOOD ,252-12 72 AVENUE
24,4,PS 186-CASTLEWOOD ,252-12 72 AVENUE
24,5,PS 115-GLEN OAKS ,80-51 261 STREET
24,6,PS 115-GLEN OAKS ,80-51 261 STREET
24,7,PS 115-GLEN OAKS ,80-51 261 STREET
24,8,CREEDMOOR HOSPITAL ,79-25 WINCHESTER BOULEVARD
24,9,CREEDMOOR HOSPITAL ,79-25 WINCHESTER BOULEVARD
24,10,MARTIN VAN BUREN HS ,230-17 HILLSIDE AVENUE
24,11,MARTIN VAN BUREN HS ,230-17 HILLSIDE AVENUE
24,12,MARTIN VAN BUREN HS ,230-17 HILLSIDE AVENUE
24,13,MARTIN VAN BUREN HS ,230-17 HILLSIDE AVENUE
24,14,MARTIN VAN BUREN HS ,230-17 HILLSIDE AVENUE
24,15,PS 186-CASTLEWOOD ,252-12 72 AVENUE
24,16,PS 188-KINGSBURRY ,218-12 HARTLAND AVENUE
24,17,PS 205-ALEXANDER GRAHAM BELL ..,75-25 BELL BOULEVARD
24,18,PS 205-ALEXANDER GRAHAM BELL ..,75-25 BELL BOULEVARD
24,19,PS 188-KINGSBURRY ,218-12 HARTLAND AVENUE
24,20,PS 205-ALEXANDER GRAHAM BELL ..,75-25 BELL BOULEVARD
24,21,PS 205-ALEXANDER GRAHAM BELL ..,75-25 BELL BOULEVARD
24,22,PS 188-KINGSBURRY ,218-12 HARTLAND AVENUE
24,23,PS 205-ALEXANDER GRAHAM BELL ..,75-25 BELL BOULEVARD
24,24,PS 188-KINGSBURRY ,218-12 HARTLAND AVENUE
24,25,PS 188-KINGSBURRY ,218-12 HARTLAND AVENUE
24,26,PS 90-HORACE MANN ,86-50 109 STREET
24,27,HILLTOP VILLAGE COOP ,87-15 204 STREET
24,28,PS 178-HOLLISWOOD ,189-10 RADNOR ROAD
24,29,HILLTOP VILLAGE COOP ,87-15 204 STREET
24,30,HILLTOP VILLAGE COOP ,87-15 204 STREET
24,31,PS 178-HOLLISWOOD ,189-10 RADNOR ROAD
24,32,PS 178-HOLLISWOOD ,189-10 RADNOR ROAD
24,33,HILLCREST JEWISH CENTER ,183-02 UNION TURNPIKE
24,34,HILLCREST JEWISH CENTER ,183-02 UNION TURNPIKE
24,35,PS 178-HOLLISWOOD ,189-10 RADNOR ROAD
24,36,IMMACULATE CONCEPTION CH ,86-45 EDGERTON BLVD
24,37,PS 178-HOLLISWOOD ,189-10 RADNOR ROAD
24,38,PS 178-HOLLISWOOD ,189-10 RADNOR ROAD
24,39,HILLCREST JEWISH CENTER ,183-02 UNION TURNPIKE
24,40,IMMACULATE CONCEPTION CH ,86-45 EDGERTON BLVD
24,41,THOMAS A. EDISON HS ,165-65 84 AVENUE
24,42,THOMAS A. EDISON HS ,165-65 84 AVENUE
24,43,THOMAS A. EDISON HS ,165-65 84 AVENUE
24,44,HILLCREST HS ,160-05 HIGHLAND AVENUE
24,45,JHS 217-ROBERT A. VAN WYCK ,85-05 144 STREET
24,46,PS 117-J.KELD / BRIARWOOD SCHOOL ,85-15 143 STREET
24,47,JHS 217-ROBERT A. VAN WYCK ,85-05 144 STREET
24,48,PS 82-HAMMOND ,88-02 144 STREET
24,49,ST NICHOLAS OF TOLENTINE ,150-75 GOETHALS AVENUE
24,50,JHS 217-ROBERT A. VAN WYCK ,85-05 144 STREET
24,51,YOUNG WOMENS LEADERSHIP SCHOOL-QNS ,150-91 87 ROAD
24,52,THOMAS A. EDISON HS ,165-65 84 AVENUE
24,53,THOMAS A. EDISON HS ,165-65 84 AVENUE
24,54,THOMAS A. EDISON HS ,165-65 84 AVENUE
24,55,THOMAS A. EDISON HS ,165-65 84 AVENUE
24,56,IMMACULATE CONCEPTION CH ,86-45 EDGERTON BLVD
24,57,CENTRAL LIBRARY ,89-11 MERRICK BOULEVARD
