Candidate,Classification,Office Sought
"Abreu, Shaun",Participant,City Council District 07
"Acquafredda, Janine",Participant,Brooklyn Boro President
"Actille, Treasure J*",Participant,Mayor
"Adams, Adrienne E",Participant,Mayor
"Adams, Eric L",Participant,Mayor
"Aiken, David",Participant,City Council District 21
"Alayeto, Clarisa",Participant,City Council District 08
"Aldebol, Shirley",Participant,City Council District 13
"Alexandre, Dominique K*",Participant,City Council District 41
"Alny, Joe",Participant,Mayor
"Altidor, Kenny*",Participant,City Council District 46
"Anglade, Jean h",Participant,Mayor
"Aquino, Angela*",Non-Participant,Public Advocate
"Aquino, Darren D*",Participant,Mayor
"Ariola, Joann",Participant,City Council District 32
"Armstead, Eric W",Participant,Mayor
"Armstrong, Claire*",Participant,Mayor
"Arnwine, Dante",Participant,City Council District 41
"Aronson, Vanessa T",Participant,City Council District 04
"Ashiq, Abubakar*",Participant,City Council District 25
"Ashman, Dion M",Participant,City Council District 35
"Athayde, Kyle",Participant,City Council District 04
"Aulbach-Sidibe, Daniel K*",Participant,City Council District 08
"Aviles, Alexa",Participant,City Council District 38
"Banks, Christopher",Participant,City Council District 42
"Barsamian, Dikran",Participant,City Council District 47
"Bartholomew, Dr. Selma K",Participant,Mayor
"Batchu, Sarah L",Participant,City Council District 02
"Batista, Anthony*",Participant,City Council District 47
"Batts, Jeffery Kazembe M*",Participant,City Council District 36
"Bauer, Chris F*",Non-Participant,Public Advocate
"Belfield, Terrell*",Participant,City Council District 42
"Ben Zakar, Adam*",Non-Participant,Mayor
"Berry, Neil D",Participant,City Council District 49
"Blake, Michael A",Participant,Mayor
"Blas, Sarah",Participant,City Council District 49
"Bondy, Faith",Participant,City Council District 04
"Bonsell, Alina",Participant,City Council District 05
"Bottcher, Erik",Participant,City Council District 03
"Brannan, Justin",Participant,Comptroller
"Brewer, Gale",Participant,City Council District 06
"Brooks-Powers, Selvena",Non-Participant,City Council District 31
"Brown, Elijah M",Participant,City Council District 41
"Brown, Telee",Participant,City Council District 49
"Burwick, Max",Non-Participant,Mayor
"Buthorn, John K",Participant,City Council District 51
"Caban, Tiffany",Participant,City Council District 22
"Cabrera, Fernando L",Participant,City Council District 14
"Cambry, Yvette*§",Non-Participant,City Council District 40
"Carr, David M",Participant,City Council District 50
"Carter-Williams, Jozette*",Participant,City Council District 49
"Caruso, Alexander J",Participant,City Council District 19
"Castellanos, Francesca M",Non-Participant,City Council District 10
"Chan, Jerry*",Participant,City Council District 43
"Chang, Wayne A*",Participant,Brooklyn Boro President
"Chino, Theo*",Participant,Public Advocate
"Chou, Benjamin",Participant,City Council District 19
"Chou, Joseph J",Non-Participant,City Council District 20
"Chow, Bernard",Participant,City Council District 23
"Chung, Youn*",Non-Participant,City Council District 19
"Clarke, Athena",Participant,City Council District 46
"Cleary, Justin*",Participant,City Council District 02
"Coleman, Jess K",Participant,City Council District 01
"Coley, Naomi G*",Participant,Mayor
"Colombo, Michael",Participant,Staten Island Boro President
"Colon, Federico",Participant,City Council District 08
"Colucci, Joel§",Non-Participant,City Council District 01
